Date,Jan,Feb,Mar,April,May,June,July,Aug,Sep,Oct,Nov,Dec
2004,0.62,0.66,0.66,0.65,0.6,0.57,0.54,0.54,0.54,0.55,0.56,0.56
2005,0.76,0.7,0.71,0.7,0.7,0.69,0.68,0.67,0.68,0.68,0.69,0.69
2006,0.6,0.68,0.67,0.64,0.62,0.62,0.62,0.63,0.63,0.64,0.64,0.65
2007,0.91,0.81,0.77,0.77,0.74,0.72,0.7,0.68,0.68,0.67,0.66,0.64
2008,0.28,0.3,0.44,0.46,0.47,0.47,0.49,0.49,0.51,0.52,0.54,0.54
2009,0.67,0.61,0.58,0.58,0.59,0.6,0.62,0.63,0.65,0.65,0.66,0.67
2010,0.76,0.8,0.83,0.84,0.83,0.81,0.79,0.77,0.76,0.75,0.75,0.73
2011,0.55,0.53,0.57,0.59,0.59,0.59,0.61,0.62,0.62,0.62,0.62,0.61
2012,0.51,0.51,0.52,0.57,0.61,0.62,0.62,0.63,0.64,0.66,0.67,0.65
2013,0.68,0.64,0.64,0.63,0.64,0.65,0.64,0.65,0.66,0.66,0.68,0.68
2014,0.74,0.66,0.71,0.73,0.75,0.74,0.73,0.74,0.76,0.76,0.75,0.75
2015,0.84,0.86,0.88,0.87,0.86,0.86,0.85,0.85,0.86,0.88,0.9,0.91
2016,1.2,1.27,1.29,1.25,1.2,1.14,1.1,1.09,1.07,1.05,1.04,1.03
2017,1.04,1.07,1.09,1.05,1.02,0.98,0.97,0.96,0.95,0.94,0.94,0.94
2018,0.84,0.87,0.87,0.88,0.87,0.86,0.86,0.85,0.85,0.87,0.87,0.87
2019,0.93,0.92,1,1.01,0.99,0.98,0.97,0.97,0.97,0.97,0.97,0.99
2020,1.16,1.19,1.17,1.16,1.13,1.1,1.07,1.05,1.05,1.03,1.04,1.02
2021,0.83,0.74,0.79,0.79,0.8,0.81,0.82,0.83,0.84,0.86,0.86,0.87
2022,0.92,0.91,0.96,0.94,0.92,0.92,0.92,0.92,0.92,0.92,0.91,0.9
2023,0.89,0.96,1.05,1.03,1.02,1.03,1.05,1.08,1.12,1.14,1.17,1.19
2024,1.3,1.36,1.35,1.33,1.3,1.29,1.28,1.28,1.27,1.28,1.28,1.28
